Artist,Track,Featuring Artist,Streams,Album,Release Date,Album Cover,Artist Image
Denzel Curry,Melt Session #1 [Feat. Robert Glasper],1,42,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Walkin,0,44,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Worst Comes To Worst,0,40,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,John Wayne [Feat. Buzzy Lee],1,38,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Last,0,40,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Mental [Feat. Saul Williams & Bridget Perez],1,39,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Troubles [Feat.T-Pain],1,40,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,"Ain't No Way [Feat. 6LACK, Rico Nasty, JID, Jasiah, & Kitty Ca$h]",1,39,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,X-Wing,0,42,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Angelz [Feat. Karriem Riggins],1,37,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Smell Of Death,0,36,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Sanjuro,1,40,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Zatoichi,1,38,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Ills,0,37,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Melt Session #1 - Cold Blooded Soul Version,0,42,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Walkin - Cold Blooded Soul Version,0,47,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Worst Comes To Worst - Cold Blooded Soul Version,0,41,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Mental - Cold Blooded Soul Version,0,41,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Troubles - Cold Blooded Soul Version,0,42,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Chrome Hearts [Feat. Zacari],1,48,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,X-Wing - Cold Blooded Soul Version,0,54,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Angelz - Cold Blooded Soul Version,0,39,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Larger Than Life,0,45,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Ills - Cold Blooded Soul Version,0,40,Melt My Eyez See Your Future (The Extended Edition),2022-09-30,https://i.scdn.co/image/ab67616d0000b273069dc0623d2e2ad7f10b6d3c,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Melt Session #1 [Feat. Robert Glasper],1,59,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Walkin,0,74,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Worst Comes To Worst,0,56,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,John Wayne [Feat. Buzzy Lee],1,52,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Last,0,56,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Mental [Feat. Saul Williams & Bridget Perez],1,56,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Troubles [Feat. T-Pain],1,60,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,"Ain't No Way [Feat. 6LACK, Rico Nasty, J.I.D, Jasiah, Kitty Ca$h]",1,58,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,X-Wing,0,66,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Angelz [Feat. Karriem Riggins],1,53,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Smell Of Death,0,51,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Sanjuro,1,63,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Zatoichi [Feat. slowthai],1,55,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,The Ills,0,54,Melt My Eyez See Your Future,2022-03-25,https://i.scdn.co/image/ab67616d0000b2735b924aa009b61b6b9d831eec,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Track 01 - Instrumental,1,21,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Take_it_Back_v2 - Instrumental,1,22,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Lay_Up.m4a - Instrumental,1,20,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Pyro (leak 2019) - Instrumental,1,21,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,DIET_ - Instrumental,1,21,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,So.Incredible.pkg - Instrumental,1,20,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Track07 - Instrumental,1,21,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,ꞌCosmicꞌ.m4a - Instrumental,1,20,UNLOCKED (Instrumental),2020-05-01,https://i.scdn.co/image/ab67616d0000b27347977afa9309321854b92359,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Track 01,1,42,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Take_it_Back_v2,1,54,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Lay_Up.m4a,1,50,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Pyro (leak 2019),1,58,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,DIET_,1,57,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,So.Incredible.pkg,1,50,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,Track07,1,45,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,ꞌCosmicꞌ.m4a,1,53,UNLOCKED,2020-02-07,https://i.scdn.co/image/ab67616d0000b273922a12ba0b5a66f034dc9959,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,ZUU,0,53,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,RICKY,0,66,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,WISH FEAT. KIDDO MARV,1,60,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,BIRDZ FEAT. RICK ROSS,1,53,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,AUTOMATIC,1,49,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,SPEEDBOAT,0,58,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,BUSHY B INTERLUDE,0,44,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,YOO,0,37,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,CAROLMART FEAT. ICE BILLION BERG,1,47,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,SHAKE 88 FEAT. SAM SNEAK,1,48,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,BLACKLAND 66.6,0,36,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,P.A.T. FEAT. PLAYTHATBOIZAY,1,50,ZUU,2019-05-31,https://i.scdn.co/image/ab67616d0000b2735d46e4578c8e1adad9206480,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,TABOO | TA13OO,0,57,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,BLACK BALLOONS | 13LACK 13ALLOONZ [FEAT. TWELVE'LEN & GOLDLINK | TWELVE'LEN + GOLDL1NK],1,62,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
Denzel Curry,CASH MANIAC | CAZH MAN1AC [FEAT. NYYJERYA],1,51,TA13OO,2018-07-27,https://i.scdn.co/image/ab67616d0000b2737d05dd3ebb77cc048d66b294,https://i.scdn.co/image/ab6761610000e5ebb00f2e31d509ddc6fa0eb24b
